"did they lose",Fixture
"did they win",Fixture
"did we lose",Fixture
"did we win",Fixture
"What was their result against *",Fixture
"What was their score against *",Fixture
"what was the result",Fixture
"What was the result against *",Fixture
"What was the result when they played *",Fixture
"What was the result when * played them",Fixture
"What was the result when we played *",Fixture
"what was the score",Fixture
"What was the score against *",Fixture
"What was the score in the * game",Fixture
"What was the score in the * match",Fixture
"What was the score when they played *",Fixture
"What was the score when * played them",Fixture
"What was the score when we played *",Fixture
"What was our last game",Fixture
"what was our last result",Fixture
"What was their last game",Fixture
"what was their last result",Fixture
"What was *'s last game",Fixture
"what was *'s last result",Fixture
"When did they last play",Fixture
"When did * last play",Fixture
"When did *'s last play",Fixture
"When did we last play",Fixture
"When was our last game",Fixture
"When was our last match",Fixture
"When was their last game",Fixture
"When was their last match",Fixture
"When was *'s last game",Fixture
"When was *'s last match",Fixture
"Who did they play last",Fixture
"who did they play last week",Fixture
"Who did they play on Saturday",Fixture
"Who did * play last",Fixture
"who did * play last week",Fixture
"Who did * play on Saturday",Fixture
"Who did we play last",Fixture
"who did we play last week",Fixture
"Who did we play on Saturday",Fixture
"When did they play *",Fixture
"When did * play *",Fixture
"When did we play *",Fixture
"When was the * fixture",Fixture
"When was the * against * fixture",Fixture
"When was the * * fixture",Fixture
"When was the *, * fixture",Fixture
"When was the * fixture",Fixture
"When was the * game",Fixture
"When was the * v * fixture",Fixture
"When was the * v * game",Fixture
"When was the * v * match",Fixture
"When was the * vs * fixture",Fixture
"When was the * vs * game",Fixture
"When was the * vs * match",Fixture
"When was the * verses * fixture",Fixture
"When was the * versus * game",Fixture
"When was the * versus * match",Fixture
"What were the games last week",Fixture
"What were the results last week",Fixture
"Who played last week",Fixture
"Who played on Saturday",Fixture
"What were Saturday's results",Fixture
"What were the results of the games on Saturday",Fixture
"What were the results of the games last week",Fixture
"When do they meet Villa",Fixture
"When do they play Chelsea",Fixture
"When do Villa meet Villa",Fixture
"When do Villa play Chelsea",Fixture
"When do we meet Villa",Fixture
"When do we play Villa",Fixture
"When will they meet Chelsea",Fixture
"When will Villa meet Chelsea",Fixture
"When will Villa play Chelsea",Fixture
"When will we meet Villa",Fixture
"When will we play Villa",Fixture
"What's our next game",Fixture
"What's their next game",Fixture
"What's Villa's next game",Fixture
"When is our next game",Fixture
"When is our next match",Fixture
"When is their next game",Fixture
"When is their next match",Fixture
"When is Villa's next game",Fixture
"When is Villa's next match",Fixture
"When will they next play",Fixture
"When will Villa next play",Fixture
"When will we next play",Fixture
"who have we got on Saturday",Fixture
"Who will they play next",Fixture
"who will they play next week",Fixture
"Who will they play on Saturday",Fixture
"Who will Villa play next",Fixture
"who will Villa play next week",Fixture
"Who will Villa play on Saturday",Fixture
"Who will we play next",Fixture
"who will we play next week",Fixture
"Who will we play on Saturday",Fixture
"What's the score",Fixture
"What's the scores",Fixture
"How are things going",Fixture
"How are we doing",Fixture
"How are * doing",Fixture
"How's progress",Fixture
"Is it over",Fixture
"Have the games finished",Fixture
"What's the results",Fixture
"score",Fixture
"scores",Fixture
"result",Fixture
"results",Fixture
"how are things going",Fixture
